IDCardNo        XLoc        YLoc        gender        age        isVac
865017        348        303        Male        13        No
269957        713        851        Male        59        Yes
074899        264        992        Male        65        No
875109        671        278        Male        17        Yes
655497        937        143        Male        17        No
784973        771        612        Male        8        No
287070        29        644        Male        7        No
734588        863        762        Male        36        No
386937        987        401        Male        64        Yes
655954        133        858        Male        9        Yes
037273        887        664        Male        29        No
591001        199        520        Female        14        No
219074        508        774        Female        68        No
523429        646        973        Female        70        Yes
149337        115        532        Male        23        Yes
723783        365        706        Male        48        No
526143        454        22        Female        52        Yes
046523        370        327        Female        19        No
722794        531        164        Male        24        No
867372        50        434        Male        18        No
041419        318        599        Male        48        Yes
028079        182        329        Male        50        Yes
757226        732        553        Female        30        No
598450        517        269        Female        10        No
712796        60        957        Female        1        No
484431        801        947        Male        27        No
893358        316        957        Male        68        No
788796        537        756        Female        18        Yes
044052        739        155        Male        4        Yes
957486        121        153        Male        50        Yes
668939        682        398        Female        3        Yes
366130        332        174        Female        51        No
138995        618        263        Male        19        No
417318        472        832        Female        43        Yes
774976        934        898        Male        64        No
774145        804        972        Male        52        No
625519        253        82        Male        32        Yes
025187        466        616        Male        28        No
814445        5        213        Female        48        Yes
930179        976        736        Female        13        No
252928        534        248        Female        20        Yes
365694        727        941        Female        30        Yes
136697        249        56        Male        68        No
696625        765        544        Male        57        No
601052        839        982        Female        5        Yes
564143        499        435        Male        49        No
508789        904        128        Female        32        Yes
700137        263        156        Female        64        No
966417        762        949        Female        21        No
496263        787        487        Male        14        No
095253        274        41        Male        56        No
356152        272        984        Male        67        No
820542        166        119        Male        19        No
435011        260        957        Female        56        No
881977        39        16        Female        51        Yes
441829        541        298        Female        30        Yes
497956        636        246        Female        47        Yes
514548        771        687        Male        41        Yes
109057        358        154        Female        39        No
846045        578        123        Male        51        Yes
766332        466        58        Female        1        Yes
581820        787        772        Male        59        No
355472        191        956        Female        62        Yes
646115        712        723        Female        7        No
004097        553        162        Female        50        Yes
568404        323        396        Female        42        No
970219        784        902        Male        11        No
471514        124        211        Male        41        Yes
667087        567        599        Male        60        Yes
340201        136        331        Female        11        No
786759        425        563        Female        45        Yes
167761        771        528        Male        19        Yes
